I. Liste des syllabes mə̀dʉ̂mbὰ.
Voici la liste de 1144 syllabes mə̀dʉ̂mbὰ (ce nombre est une estimation qui découle de l’inventaire ci-dessous).
a [a]
kud [kxut]
kul [kxul]
kum [kxum]
kun [kxun]
ku' [kxuʔ]
kʉ [kxʉ]
kʉα [kxʉɑ]
kʉd [kxʉt]
kʉl [kxʉl]
kʉm [kxʉm]
kʉ' [kxʉʔ]
kwa [kua]
kwag [kuak]
kwaŋ [kuaŋ]
kwα [kuɑ]
kwαb [kuɑb]
kwe [kɥi]
kweb [kɥib]
kwem [kɥim]
kwe' [kɥiʔ]
kwi [kxɥi]
kwia [kxɥia]
kwiaŋ [kxɥiaŋ]
kwiα [kxɥiɑ]
kwiαg [kxɥiɑk]
kwib [kxɥib]
kwid [kxɥit]
kwim [kxɥim]
kwin [kxɥin]
kwi' [kxɥiʔ]
kwʉ [kxuʉ]
la [la]
lab [lab]
lad [lat]
lag [lak]
lal [lal]
lam [lam]
laŋ [laŋ]
la' [lɑʔ]
lα [lɑ]
lαb [lɑb]
lαg [lɑg]
lαm [lɑm]
lαn [lɑn]
lə [lœ], [lʉ]
ləb [lʉb]
ləd [lʉt]
ləl [lʉl]
ləm [lʉm]
lən [lʉn]
lə' [lʉʔ]
le [li]
led [lit]
lel [lil]
lem [lim]
le' [liʔ]
lɛ [lɛ]
lɛd [lɛt]
lɛl [lɛl]
li [li]
lid [lit]
lin [lin]
lo [lu]
lob [lub]
log [lɔk]
lon [lun]
loŋ [lɔŋ]
lo' [luʔ]
lɔ [lo]
ma [ma]
mad [mat]
mag [mak]
mal [mal]
maŋ [maŋ]
ma' [mɑʔ]
mα [mɑ]
mαg [mɑk]
mαm [mɑm]
mba [mba]
mbab [mbab]
mbad [mbat]
mbag [mbak]
mbal [mbal]
mbam [mbam]
mbaŋ [mbaŋ]
mba' [mbɑʔ]
mbα [mbɑ]
mbαb [mbɑb]
mbαg [mbɑk]
mbαm [mbɑm]
mbαn [mbɑn]
mbə [mbʉ]
mbəd [mbʉt]
mbəl [mbʉl]
mbəm [mbʉm]
mbə' [mbʉʔ]
mbe [mbi]
mbed [mbit]
mbel [mbil]
mbem [mbim]
mben [mbin]
mbe' [mbiʔ]
mbɛ [mbɛ]
mbɛd [mbɛt]
mbɛl [mbɛl]
mbɛn [mbɛn]
mbi [mbhi]
mbia [mbhia]
mbia' [mbhiaʔ]
mbiα [mbhiɑ]
mbiαg [mbhiɑk]
mbid [mbhit]
mbil [mbhil]
mbi' [mbhiʔ]
mbo [mbu]
mbob [mbub]
mbod [mbut]
mboŋ [mbɔŋ]
mbo' [mbuʔ]
mbu [mbhu]
mbub [mbhub]
mbul [mbhul]
mbum [mbhum]
mbun [mbhun]
mbu' [mbhuʔ]
mbʉ [mbhʉ]
mbʉα [mbhʉɑ]
mbʉαg [mbhʉɑk]
mbʉm [mbhʉm]
mbʉn [mbhʉn]
mbʉ' [mbhʉʔ]
mbwə [mbhœ]
mbwə' [mbhœʔ]
mbwog [mbhɔk]
mbwoŋ [mbhɔŋ]
mbwɔ [mbho]
mə [mœ], [mʉ]
məm [mʉm]
mən [mʉn]
mə' [mʉʔ]
me [mi]
mem [mim]
me' [miʔ]
mfa [ɱva]
mfad [ɱvat]
mfag [ɱvak]
mfal [ɱval]
mfam [ɱvam]
mfaŋ [ɱvaŋ]
mfa' [ɱvɑʔ]
mfα [mvɑ]
mfαb [ɱvɑb]
mfαn [ɱvɑn]
mfə [ɱfhœ], [ɱvœ], [ɱvʉ]
mfəb [ɱvʉb]
mfəd [ɱvʉt]
mfəl [ɱvʉl]
mfəm [ɱvʉm]
mfən [ɱvʉn]
mfə' [ɱfhœʔ]
mfe [ɱvi]
mfeb [ɱvib]
mfed [ɱvit]
mfel [ɱvil]
mfem [ɱvim]
mfe' [ɱviʔ]
mfɛ [ɱvɛ]
mfɛd [ɱvɛt]
mfɛl [ɱvɛl]
mfɛn [ɱvɛ]
mfi [ɱfhi]
mfia [ɱfhia]
mfiα [ɱfhiɑ]
mfiαg [ɱfhiɑg]
mfid [ɱfhid]
mfil [ɱfhil]
mfim [ɱfhim]
mfin [ɱfhin]
mfi' [ɱfhiʔ]
mfo [ɱvo]
mfod [ɱvot]
mfog [ɱfhɔk]
mfol [ɱvol]
mfom [ɱvom]
mfoŋ [ɱfhɔŋ]
mfɔ [ɱvo]
mfu [ɱfhu]
mfub [ɱfhub]
mfu' [ɱfhuʔ]
mfʉ [ɱfhʉ]
mfʉα [ɱfhʉɑ]
mfʉαg [ɱfhʉɑk]
mfʉd [ɱfhʉt]
mfʉl [ɱfhʉl]
mfʉm [ɱfhʉm]
mfʉn [ɱfhʉn]
mi [mi]
miα [miɑ]
miαg [miɑk]
mib [mib]
mid [mit]
mil [mil]
min [min]
mi' [miʔ]
mo [mu]
mom [mum]
mo' [muʔ]
mɔ [mo]
mu [mu]
mub [mub]
mud [mut]
mul [mul]
mvaŋ [ɱvaŋ]
mvə [ɱvhœ]
mvə' [ɱvʉʔ]
mvɛd [ɱvɛt]
mvɛn [ɱvɛn]
mvog [ɱvhɔk]
mvʉ [ɱvhʉ]
na [na]
nam [nam]
naŋ [naŋ]
na' [naʔ]
nα [nɑ]
nαb [nɑb]
nαn [nɑn]
nca [ntʃa]
ncab [ntʃab]
ncag [ntʃak]
ncam [ntʃam]
ncaŋ [ntʃaŋ]
nca' [ntʃɑʔ]
ncα [ntʃɑ]
ncαb [ntʃɑb]
ncαg [ntʃɑg]
ncαm [ntʃɑm]
ncə [ntʃʉ]
ncəb [ntʃʉb]
ncəd [ntʃʉt]
ncəl [ntʃʉl]
ncəm [ntʃʉm]
ncə' [ntʃʉʔ]
nce [ntʃi]
nced [ntʃit]
ncel [ntʃil]
ncem [ntʃim]
nce' [ntʃiʔ]
ncɛ [ntʃɛ]
ncɛd [ntʃɛt]
ncɛl [ntʃɛl]
ncɛn [ntʃɛn]
nco [ntʃu]
ncob [ntʃub]
ncog [ntʃɔk]
ncom [ntʃum]
ncoŋ [ntʃɔŋ]
nco' [ntʃuʔ]
ncu [ntʃhu]
ncua' [ntʃhuaʔ]
ncuα [ntʃhuɑ]
ncub [ntʃhub]
ncum [ntʃhm]
ncu' [ntʃhuʔ]
ncʉ [ntʃhʉ]
ncʉa [ntʃhʉa]
ncʉaŋ [ntʃhʉaŋ]
ncʉα [ntʃhʉɑ]
ncʉαg [ntʃhɑk]
ncʉb [ntʃhʉb]
ncʉm [ntʃhʉm]
ncʉ' [ntʃhʉʔ]
ncwa [ntʃua]
ncwad [ntʃuad]
ncwe [ntʃɥi]
ncweb [ntʃɥib]
ncwed [ntʃɥit]
ncwel [ntʃɥil]
ncwem [ntʃɥim]
ncwe' [ntʃɥiʔ]
nda [nda]
ndab [ndab]
ndad [ndat]
ndag [ndak]
ndal [ndal]
ndam [ndam]
ndaŋ [ndaŋ]
nda' [ndɑʔ]
ndα [ndɑ]
ndαb [ndɑb]
ndαg [ndɑk]
ndαm [ndɑm]
ndαn [ndɑn]
ndə [ndʉ]
ndəb [ndʉb]
ndəd [ndʉt]
ndəl [ndʉl]
ndəm [ndʉm]
ndə' [ndʉʔ]
nde [ndi]
ndeb [ndib]
nded [ndit]
ndel [ndil]
ndem [ndim]
nde' [ndiʔ]
ndɛ [ndɛ]
ndɛd [ndɛt]
ndɛl [ndɛl]
ndɛn [ndɛn]
ndo [ndu]
ndob [ndub]
ndod [ndut]
ndon [ndun]
ndoŋ [ndɔŋ]
ndo' [nduʔ]
ndɔ [ndo]
ndu [ndhu]
ndub [ndhub]
ndud [ndhut]
ndul [ndhul]
ndum [ndhum]
ndun [ndhun]
ndu' [ndhuʔ]
ndʉ [ndhʉ]
ndʉb [ndhʉb]
ndʉm [ndhʉb]
ndʉ' [ndhʉʔ]
nə [nœ], [nʉ]
nə' [nʉʔ]
nɛ [nɛ]
nɛn [nɛn]
nga [ŋga]
ngab [ŋga]
ngad [ŋgat]
ngag [ŋgak]
ngal [ŋgal]
ngam [ŋgam]
ngaŋ [ŋgaŋ]
nga' [ŋgɑʔ]
ngαb [ŋgɑb]
ngαm [ŋgɑm]
ngαn [ŋgɑn]
ngə [ŋgœ], [ŋgʉ]
ngəb [ŋgʉb]
ngəd [ŋgʉt]
ngəl [ŋgʉl]
ngəm [ŋgʉm]
ngə' [ŋgʉʔ]
ngo [ŋgu]
ngob [ŋgub]
ngom [ŋgum]
ngon [ŋgun]
ngoŋ [ŋgɔŋ]
ngo' [ŋguʔ]
ngɔ [ŋgo]
ngu [ŋghu]
nguα [ŋghuɑ]
nguαn [ŋghuɑn]
ngub [ŋghub]
ngum [ŋghum]
ngu' [ŋghuʔ]
ngʉ [ŋghʉ]
ngʉα [ŋghʉɑ]
ngʉm [ŋghʉm]
ngʉn [ŋghʉn]
ngʉ' [ŋghʉʔ]
ngwa [ŋgua]
ngwad [ŋguat]
ngwag [ŋguak]
ngwal [ŋgual]
ngwaŋ [ŋguaŋ]
ni [ni]
njα [ndȝɑ]
njαb [ndȝɑb]
njαg [ndȝɑk]
njαm [ndȝɑm]
njo [ndȝu]
njob [ndȝub]
njod [ndȝut]
njog [ndȝɔk]
njol [ndȝul]
njom [ndȝum]
njoŋ [ndȝɔŋ]
njo' [ndȝuʔ]
njɔ [ndȝo]
nju [nȝu]
njub [nȝub]
njum [nȝum]
njun [nȝun]
nju' [nȝuʔ]
njʉ [nȝʉ]
njʉα [nȝʉɑ]
njʉαg [nȝʉɑk]
njʉm [nȝʉm]
njʉ' [nȝʉʔ]
njwe [ndȝui]
njwed [ndȝuit]
njwel [ndȝuil]
njwem [ndȝuim]
njwe' [ndȝuiʔ]
njwɛ [ndȝuɛ]
njwɛd [ndȝuɛt]
njwɛl [ndȝuɛl]
njwɛn [ndȝuɛn]
nka [ŋka]
nkab [ŋkab]
nkad [ŋkat]
nkag [ŋkak]
nkal [ŋkal]
nkam [ŋkam]
nkaŋ [ŋkaŋ]
nka' [ŋkɑʔ]
nkα [ŋkɑ]
nkαb [ŋkɑb]
nkαg [ŋkɑk]
nkαm [ŋkɑm]
nkαn [ŋkɑn]
nkə [ŋkœ], [ŋkʉ]
nkəb [ŋkʉb]
nkəd [ŋkʉt]
nkəl [ŋkʉl]
nkəm [ŋkʉm]
nkə' [ŋkʉʔ]
nke [ŋki]
nked [ŋkit]
nkel [ŋkil]
nkem [ŋkim]
nke' [ŋkiʔ]
nkioŋ [ŋkiɔŋ]
nkob [ŋkub]
nkod [ŋkut]
nkog [ŋkɔk]
nkol [ŋkul]
nkom [ŋkum]
nkoŋ [ŋkɔŋ]
nko' [ŋkuʔ]
nkɔ [ŋko]
nku [ŋkxu]
nkuα [ŋkxuɑ]
nkub [ŋkxub]
nkud [ŋkxut]
nkul [ŋkxul]
nkum [ŋkxum]
nkun [ŋkxun]
nku' [ŋkxuʔ]
nkʉ [ŋkxʉ]
nkʉα [ŋkxʉɑ]
nkʉd [ŋkxʉt]
nkʉl [ŋkxʉl]
nkʉm [ŋkxʉm]
nkʉn [ŋkxʉn]
nkʉ' [ŋkxʉʔ]
nkwa [ŋkua]
nkwad [ŋkuat]
nkwag [ŋkuak]
nkwα [ŋkuɑ]
nkwαb [ŋkuɑb]
nkwe [ŋkɥi]
nkweb [ŋkɥib]
nkwem [ŋkɥim]
nkwe' [ŋkɥiʔ]
nkwi [ŋkxɥi]
nkwia [ŋkxɥia]
nkwiaŋ [ŋkxɥiaŋ]
nkwiα [ŋkxɥia]
nkwiαg [ŋkxɥiak]
nkwib [ŋkxɥib]
nkwid [ŋkxɥit]
nkwil [ŋkxɥil]
nkwim [ŋkxɥim]
nkwin [ŋkxɥin]
nkwi' [ŋkxɥiʔ]
nkwʉ [ŋkxuʉ]
no [nu]
nod [nut]
nog [nɔk]
nol [nul]
no' [nuʔ]
nɔ [no]
nsa [nza]
nsab [nzab]
nsad [nzat]
nsag [nzag]
nsal [nzal]
nsam [nzam]
nsaŋ [nzaŋ]
nsa' [nzaʔ]
nsα [nzɑ]
nsαb [nzɑb]
nsαg [nzɑk]
nsαm [nzɑm]
nsə [nshœ], [nzʉ]
nsəb [nzʉb]
nsəd [nzʉt]
nsəl [nzʉl]
nsəm [nzʉm]
nsə' [nshœʔ], [nzʉʔ]
nse [nzi]
nseb [nzib]
nsem [nzim]
nse' [nziʔ]
nsɛ [nzɛ]
nsɛn [nzɛn]
nsi [nshi]
nsia [nshia]
nsiaŋ [nshiaŋ]
nsiα [nshiɑ]
nsiαg [nshiɑk]
nsin [nshin]
nso [nzu]
nsob [nzub]
nsog [nshɔk]
nsom [nzum]
nsoŋ [nshɔŋ]
nsɔ [nzo]
nswa [nzua]
nswad [nzuat]
nswal [nzual]
nswə [nshuœ]
nswə' [nshuœʔ]
nswɛ [nzuɛ]
nswɛd [nzuɛt]
nswɛl [nzuɛl]
nswɛn [nzuɛn]
nshu [nʃu]
nshun [nʃun]
nshu' [nʃuʔ]
nshʉ [nʃʉ]
nshʉn [nʃʉn]
nshʉ' [nʃʉʔ]
nta [nta]
ntab [ntab]
ntad [ntat]
ntag [ntak]
ntam [ntam]
ntaŋ [ntaŋ]
nta' [ntaʔ]
ntα [ntɑ]
ntαb [ntɑb]
ntαg [ntɑk]
ntαm [ntɑm]
ntαn [ntɑn]
ntə [ntʉ]
ntəd [ntʉt]
ntəm [ntʉm]
ntən [ntʉn]
ntə' [ntʉʔ]
ntɛ [ntɛ]
ntɛd [ntɛt]
ntɛl [ntɛl]
ntɛn [ntɛn]
ntiα [ntiɑ]
ntiαg [ntiɑk]
nto [ntu]
ntob [ntub]
ntod [ntut]
ntog [ntɔk]
ntol [ntul]
ntom [ntum]
nton [ntun]
nto' [ntuʔ]
ntɔ [nto]
ntu [nthu]
ntub [nthub]
ntud [nthut]
ntul [nthul]
ntum [nthum]
ntun [nthun]
ntu' [nthuʔ]
ntʉ [nthʉ]
ntʉn [nthʉn]
ntʉ' [nthʉʔ]
ntsə [ntsœ]
ntsə' [ntsœʔ]
ntsi [ntsi]
ntsia [ntsia]
ntsiaŋ [ntsiaŋ]
ntsiα [ntsiɑ]
ntsiαg [ntsiɑg]
ntswə [ntsuœ]
ntswə' [ntsuœʔ]
nu [nu]
nud [nut]
nul [nul]
nu' [nuʔ]
nʉ [nʉ]
nʉn [nʉn]
nʉ' [nʉʔ]
nzə [nzhœ]
nzə' [nzhœʔ]
nzi [nzhi]
nzia [nzhia]
nziag [nzhiak]
nzib [nzhib]
nzid [nzhit]
nzil [nzhil]
nzim [nzhim]
nzin [nzhin]
nzi' [nzhiʔ]
nzwə [nzhuœ]
nzwə' [nzhuœʔ]
nzwi [nzhɥi]
nzwiaŋ [nzhɥiaŋ]
nzwiaŋ [nzhɥiaŋ]
nzwiα [nzhɥiɑ]
nzwiαg [nzhɥiɑk]
nzwid [nzhɥit]
nzwil [nzhɥil]
nzwim [nzhɥi]
nzwi' [nzhɥiʔ]
ŋa [ŋa]
ŋad [ŋad]
ŋag [ŋak]
ŋal [ŋal]
ŋam [ŋam]
ŋa' [ŋaʔ]
ŋα [ŋɑ]
ŋαb [ŋɑb]
ŋə [ŋœ]
ŋu [ŋu]
ŋu' [ŋuʔ]
ŋʉ [ŋʉ]
ŋwa [ŋua]
ŋwad [ŋuat]
ŋwag [ŋuak]
ŋwal [ŋual]
ŋwaŋ [ŋuaŋ]
ŋwa' [ŋuaʔ]
ŋwα [ŋuɑ]
ŋwi [ŋɥi]
ŋwid [ŋɥit]
ŋwil [ŋɥil]
ŋwin [ŋɥin]
ŋwʉ [ŋuʉ]
o [u]
ɔ [o]
ɔ' [oʔ]
sa [sa]
sab [sab]
sad [sat]
sag [sak]
sal [sal]
sam [sam]
saŋ [saŋ]
sa' [saʔ]
sα [sɑ]
sαb [sɑb]
sαg [sɑk]
sαm [sɑm], [sɔm]
sαn [sɑn]
sə [shœ], [sʉ]
səb [sʉb]
səd [sʉt]
səl [sʉl]
səm [sʉm]
sən [sʉn]
sə' [shœʔ], [sʉʔ]
se [si]
seb [sib]
sem [sim]
se' [siʔ]
sɛ [sɛ]
sɛn [sɛn]
si [shi]
sia [shia]
siaŋ [shiaŋ]
siα [shiɑ]
siαg [shiɑk]
so [su]
sob [sub]
sog [shɔk]
soŋ [shɔŋ]
sɔ [so]
su [su]
sub [sub]
shu [ʃu]
shud [ʃut]
shu' [ʃuʔ]
shʉ [ʃʉ]
shʉ' [ʃʉʔ]
swa [sua]
swad [suat]
swal [sual]
swə [shuœ]
swə’ [shuœʔ]
swɛ [suɛ]
swɛd [suɛt]
swɛl [suɛl]
swɛn [suɛn]
ta [ta]
tab [tab]
tad [tat]
tag [tak]
tal [tal]
tam [tam]
taŋ [taŋ]
ta' [taʔ]
tα [tɑ]
tαb [tɑb]
tαg [tɑk]
tαm [tɑm]
tαn [tɑn]
tə [tœ], [tʉ]
təm [tʉm]
tən [tʉn]
tə' [tʉʔ]
te [ti]
teb [tib]
tɛ [tɛ]
tɛd [tɛt]
tɛl [tɛl]
tɛn [tɛn]
ti [tsi]
tiα [thiɑ]
tiαg [thiɑk]
to [tu]
tob [tub]
tod [tut]
tog [tɔk]
tol [tul]
tom [tum]
ton [tun]
toŋ [tɔŋ]
to' [tuʔ]
tɔ [to]
tu [thu]
tub [thub]
tud [thut]
tul [thul]
tum [thum]
tun [thun]
tu' [thuʔ]
tʉ [thʉ]
tʉn [thʉn]
tʉ' [thʉʔ]
tsə [tsœ]
tsə' [tsœʔ]
tsi [tsi]
tsia [tsia]
tsiaŋ [tsiaŋ]
tsiα [tsiɑ]
tsiαg [tsiɑg]
tsid [tsit]
tsil [tsil]
tsin [tsin]
tsi' [tsiʔ]
tswə [tsuœ]
tswə' [tsuœʔ
u [u]
və [vhœ]
vɛ [vɛ]
vɛn [vɛn]
vib [vib]
vog [vhɔk]
vʉ [vhʉ]
wa [wa]
wad [wat]
wag [wak]
wal [wal]
waŋ [waŋ]
wa' [waʔ]
wɛ [wɛ]
wɛd [wɛt]
wɛl [wɛl]
wɛn [wɛn]
wɔ [wo]
wu [wu]
wud [wut]
wʉ [wʉ]
nya [ɲa]
nyad [ɲat]
nyag [ɲak]
nyal [ɲal]
nyam [ɲam]
nyaŋ [ɲaŋ]
nya' [ɲaʔ]
nyα [ɲɑ]
nyαm [ɲɑm]
nyi [ɲi]
nyid [ɲit]
nyil [ɲil]
nyin [ɲin]
nyi' [ɲiʔ]
nyɔ [ɲo]
nyu [ɲu]
nyun [ɲun]
nyu' [ɲuʔ]
nywi [ɲɥi]
nywid [ɲɥit]
nywil [ɲɥil]
nywin [ɲɥin]
nywi' [ɲɥiʔ]
ya [ja]
yad [jat]
yag [jak]
yam [jam]
yaŋ [jaŋ]
ya' [jaʔ]
yα [jɑ]
yαb [jɑb]
yαg [jɑg]
yαm [jɑm]
yə [jʉ]
yən [jʉn]
yə' [jʉʔ]
ye [ji]
yed [jit]
ye' [jiʔ]
yɛ [jɛ]
yɛn [jɛn]
yo [ju]
yob [jub]
yod [jut]
yog [jɔk]
yol [jul]
yom [jum]
yoŋ [jɔŋ]
yo' [juʔ]
yu [ju]
yub [jub]
ywe [jui]
ywɛ [juɛ]
ywɛd [juɛt]
ywɛl [juɛl]
ywɛn [juɛn]
ywi [jɥi]
ywid [jɥit]
ywil [jɥil]
ywim [jɥim]
ywi' [jɥiʔ]
zə [zhœ]
zə' [zhœʔ]
zi [zhi]
zia [zhia]
ziag [zhiag]
zib [zhib]
zid [zhit]
zil [zhil]
zim [zhim]
zin [zhi]
zi' [zhiʔ]
zwə [zhuœ]
zwə' [zhuœʔ]
zwi [zɥi]
zwia [zɥia]
zwiaŋ [zɥiaŋ]
zwiα [zɥiɑ]
zwiαg [zɥiɑk]
zwid [zɥit]
zwil [zɥil]
zwim [zɥim]
zwi' [zɥiʔ]
